from_labels, from_id, rel_type, to_labels, to_id
["AgentRun"], "723d1cfb-7b83-48c6-b279-1996fd6f4b72", "HAS_DECISION", ["DecisionTrace"], "ff2ee5ad-4870-4e56-a0ec-b0b12bfb9b77"
["AgentRun"], "723d1cfb-7b83-48c6-b279-1996fd6f4b72", "HAS_FEEDBACK", ["Feedback"], "f04cf266-2b7e-4265-b248-49dd3957949b"
["AgentRun"], "723d1cfb-7b83-48c6-b279-1996fd6f4b72", "HAS_DECISION", ["DecisionTrace"], "5d5b882c-11d0-46c4-b7e9-68b8d4db4db6"
["AgentRun"], "ba64fd40-87b5-4675-a064-1181d344bea8", "HAS_DECISION", ["DecisionTrace"], "446c4b48-95a4-4db1-8efe-961d51ab059f"
["AgentRun"], "c96f6cbb-be68-4391-9de5-792ad142dc84", "HAS_DECISION", ["DecisionTrace"], "79fcf7f5-dc26-4177-aad7-bf35fec73d1e"
["AgentRun"], "c96f6cbb-be68-4391-9de5-792ad142dc84", "HAS_FEEDBACK", ["Feedback"], "b9859e9f-433e-4c3d-937a-b5bfa798ef88"
["AgentRun"], "c96f6cbb-be68-4391-9de5-792ad142dc84", "HAS_DECISION", ["DecisionTrace"], "03597acb-f280-4535-831f-a4ed078da063"
["AgentRun"], "6ea0774a-9e0d-4dba-91f3-146b41dc82fa", "HAS_DECISION", ["DecisionTrace"], "84729ac9-e9f1-4641-a75a-4557784e54e6"
["AgentRun"], "6ea0774a-9e0d-4dba-91f3-146b41dc82fa", "HAS_DECISION", ["DecisionTrace"], "9d813af5-4360-4736-aa46-bf7f9e0bc374"
["AgentRun"], "6ea0774a-9e0d-4dba-91f3-146b41dc82fa", "HAS_SCORE", ["Score"], "9ed29080-d88d-48fc-a5d4-cf4b952da20f"
["AgentRun"], "6ea0774a-9e0d-4dba-91f3-146b41dc82fa", "HAS_FEEDBACK", ["Feedback"], "765067a2-c15d-4e33-ae23-48b9c3d0350d"
["AgentRun"], "6b5e6e7d-f1a4-4dbc-8f22-eb3866ebfdfe", "HAS_DECISION", ["DecisionTrace"], "7ff82104-b884-4c16-81fd-cfff78f063a7"
["AgentRun"], "6b5e6e7d-f1a4-4dbc-8f22-eb3866ebfdfe", "HAS_DECISION", ["DecisionTrace"], "ad5ef4a0-a704-45f0-a16b-4ea15b8a9aa7"
["AgentRun"], "6b5e6e7d-f1a4-4dbc-8f22-eb3866ebfdfe", "HAS_SCORE", ["Score"], "68307fce-d00b-4a61-a66e-fd751055d3b5"
["AgentRun"], "a35487a5-ea73-4717-bbee-051a2b3b6898", "HAS_DECISION", ["DecisionTrace"], "af97f4ad-59e8-4010-bb2c-87c726fbc193"
["AgentRun"], "a35487a5-ea73-4717-bbee-051a2b3b6898", "HAS_SCORE", ["Score"], "c32e60ff-3cec-456f-8360-b69b2cbaacc4"
["AgentRun"], "a35487a5-ea73-4717-bbee-051a2b3b6898", "HAS_DECISION", ["DecisionTrace"], "33686086-b2f1-4895-8752-c8bff54babf4"
["AgentRun"], "d2a6fb32-66d5-4c47-b9af-a97ca3e26968", "HAS_DECISION", ["DecisionTrace"], "d5619e94-0813-4bba-9b1f-044e45c5f68d"
["AgentRun"], "d2a6fb32-66d5-4c47-b9af-a97ca3e26968", "HAS_DECISION", ["DecisionTrace"], "f86272d6-2dcc-4e11-b93a-0d05eee39bb0"
["AgentRun"], "d2a6fb32-66d5-4c47-b9af-a97ca3e26968", "HAS_SCORE", ["Score"], "667df7a4-4ca3-43cb-9cde-6172127b5e9c"
["AgentRun"], "f7082a88-28d8-4c70-94cf-f788c772834b", "HAS_DECISION", ["DecisionTrace"], "63ea67f5-2f2d-49d4-bbe0-8671ecb83bc6"
["AgentRun"], "f7082a88-28d8-4c70-94cf-f788c772834b", "HAS_SCORE", ["Score"], "b9e57ce4-5017-41b4-8bb7-7cf2a3c44809"
["AgentRun"], "f7082a88-28d8-4c70-94cf-f788c772834b", "HAS_DECISION", ["DecisionTrace"], "0315a851-c25c-43a0-8085-b23c30d24da7"
["AgentRun"], "382de187-fb3d-4263-a6f0-ba7d3717d9c1", "HAS_DECISION", ["DecisionTrace"], "f096a8a0-4d4d-4e39-a240-3108fa0d167f"
